Game_pk,date,Park
717876,6/6/2023,loanDepot park
717877,6/6/2023,Yankee Stadium
717858,6/7/2023,Progressive Field
717866,6/7/2023,Nationals Park
717853,6/7/2023,Great American Ball Park
717854,6/7/2023,Globe Life Field
717860,6/7/2023,loanDepot park
717855,6/7/2023,Angel Stadium
717850,6/7/2023,Truist Park
717857,6/7/2023,Yankee Stadium
717865,6/7/2023,PNC Park
717851,6/7/2023,American Family Field
717863,6/7/2023,Petco Park
717856,6/7/2023,Rogers Centre
717852,6/7/2023,Coors Field
717859,6/7/2023,Tropicana Field
717862,6/7/2023,Citizens Bank Park
717848,6/8/2023,Yankee Stadium
717845,6/8/2023,Tropicana Field
717840,6/8/2023,Truist Park
717857,6/8/2023,Yankee Stadium
717846,6/8/2023,Coors Field
717842,6/8/2023,Progressive Field
717847,6/8/2023,Nationals Park
717844,6/8/2023,Great American Ball Park
717843,6/8/2023,Rogers Centre
717838,6/8/2023,Angel Stadium
717862,6/8/2023,Citizens Bank Park
717849,6/8/2023,American Family Field
717836,6/9/2023,PNC Park
717824,6/9/2023,Angel Stadium
717837,6/9/2023,Citizens Bank Park
717831,6/9/2023,American Family Field
717828,6/9/2023,Guaranteed Rate Field
717839,6/9/2023,Oriole Park at Camden Yards
717841,6/9/2023,Yankee Stadium
717829,6/9/2023,Truist Park
717832,6/9/2023,Busch Stadium
717835,6/9/2023,Rogers Centre
717823,6/9/2023,Oracle Park
717834,6/9/2023,Comerica Park
717830,6/9/2023,Coors Field
717827,6/9/2023,Tropicana Field
717833,6/9/2023,Progressive Field
717822,6/10/2023,Rogers Centre
717816,6/10/2023,Truist Park
717812,6/10/2023,PNC Park
717820,6/10/2023,Guaranteed Rate Field
717825,6/10/2023,Yankee Stadium
717821,6/10/2023,Comerica Park
717818,6/10/2023,Oriole Park at Camden Yards
717819,6/10/2023,Coors Field
717809,6/10/2023,Angel Stadium
717826,6/10/2023,Oracle Park
717811,6/10/2023,Citizens Bank Park
717815,6/10/2023,Progressive Field
717817,6/10/2023,Busch Stadium
717814,6/10/2023,American Family Field
